"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 04 01:59:37 WIB 2023","Fri Aug 04 01:59:37 WIB 2023","2","","API Testing","","","","test get id from different function",""
"passed","Fri Aug 04 01:59:37 WIB 2023","Fri Aug 04 01:59:37 WIB 2023","468","","API Testing","","","","should perform a POST request",""
"passed","Fri Aug 04 01:59:23 WIB 2023","Fri Aug 04 01:59:42 WIB 2023","18624","","Pegipegi","","","","search hotel function",""
"passed","Fri Aug 04 01:59:31 WIB 2023","Fri Aug 04 01:59:31 WIB 2023","520","","API Testing","","","","should perform a POST request",""
"passed","Fri Aug 04 01:59:16 WIB 2023","Fri Aug 04 01:59:34 WIB 2023","17570","","Pegipegi","","","","search hotel function",""
"passed","Fri Aug 04 01:59:25 WIB 2023","Fri Aug 04 01:59:34 WIB 2023","9262","","My Login application","","","","should login with valid credentials",""
"passed","Fri Aug 04 01:59:16 WIB 2023","Fri Aug 04 01:59:25 WIB 2023","8582","","My Login application","","","","should login with valid credentials",""
"passed","Fri Aug 04 01:59:31 WIB 2023","Fri Aug 04 01:59:31 WIB 2023","2","","API Testing","","","","test get id from different function",""
"passed","Fri Aug 04 01:59:37 WIB 2023","Fri Aug 04 01:59:37 WIB 2023","162","","API Testing","","","","should fetch user data",""
"passed","Fri Aug 04 01:59:30 WIB 2023","Fri Aug 04 01:59:31 WIB 2023","199","","API Testing","","","","should fetch user data",""
"passed","Fri Aug 04 01:59:16 WIB 2023","Fri Aug 04 01:59:21 WIB 2023","4837","","Demo Tests","","","","My 1st Test",""
"passed","Fri Aug 04 01:59:23 WIB 2023","Fri Aug 04 01:59:31 WIB 2023","7301","","Demo Tests","","","","My 1st Test",""
